;Name;Year;Available.Pedigree
519;V0519;1962;V0880 X NA
520;V0520;2015;V0473 X NA
521;V0521;1990;NA X NA
522;V0522;1900;NA X NA
523;V0523;1979;NA X V0935
524;V0524;1983;NA X NA
525;V0525;2004;NA X V0619
526;V0526;1935;NA X V1240
527;V0527;2014;NA X NA
528;V0528;2013;V0352 X NA
529;V0529;2017;V0698 X NA
530;V0530;1790;NA X NA
531;V0531;1989;NA X NA
532;V0532;2012;NA X V0858
533;V0533;1846;NA X NA
534;V0534;1946;NA X V0931
535;V0535;2006;V0720 X NA
536;V0536;1908;NA X NA
537;V0537;2005;V1193 X NA
538;V0538;1981;V0256 X V0557
539;V0539;1991;V0540 X NA
540;V0540;1980;NA X NA
541;V0541;2013;V1015 X V0857
542;V0542;2010;V0882 X NA
543;V0543;2013;V1100 X NA
544;V0544;1999;V0983 X V1033
545;V0545;2005;NA X NA
546;V0546;2013;V0510 X V0594
547;V0547;2008;V1274 X V1255
548;V0548;2006;V1247 X NA
549;V0549;1894;NA X NA
550;V0550;2012;NA X V0642
551;V0551;1969;V0954 X V0809
552;V0552;1885;NA X NA
553;V0553;1973;V0562 X NA
554;V0554;2013;V1085 X NA
555;V0555;1939;V0814 X NA
556;V0556;2004;V0585 X V0064
557;V0557;1971;V0923 X NA
558;V0558;2011;NA X V0805
559;V0559;1947;NA X V1264
560;V0560;1957;NA X V0039
561;V0561;1882;NA X V1245
562;V0562;1948;NA X NA
563;V0563;2012;NA X NA
564;V0564;1950;V0931 X NA
565;V0565;1953;V0870 X NA
566;V0566;1961;NA X V1200
567;V0567;2004;V0749 X V0408
568;V0568;2002;NA X V0036
569;V0569;2017;NA X NA
570;V0570;1997;V1003 X NA
571;V0571;1997;V1027 X V0637
572;V0572;1957;V0032 X NA
573;V0573;1815;NA X NA
574;V0574;2005;V0697 X V1043
575;V0575;1925;NA X NA
576;V0576;1970;NA X NA
577;V0577;2001;V0317 X NA
578;V0578;1999;V0011 X V0334
579;V0579;2009;NA X V0882
580;V0580;1982;NA X NA
581;V0581;2013;NA X V0267
582;V0582;1963;NA X NA
583;V0583;1938;V1073 X V1058
584;V0584;2018;V0873 X V0992
585;V0585;1998;NA X NA
586;V0586;1970;V0904 X NA
587;V0587;2012;V0545 X NA
588;V0588;2000;NA X V0334
589;V0589;1750;NA X NA
590;V0590;2014;NA X NA
591;V0591;1971;NA X V0797
592;V0592;1981;V1042 X V0462
593;V0593;1924;V0002 X NA
594;V0594;2001;V0983 X V0072
595;V0595;1994;V1220 X NA
596;V0596;2013;V1193 X NA
597;V0597;1872;NA X NA
598;V0598;1988;V0464 X NA
599;V0599;2006;V1003 X V0922
600;V0600;1913;NA X V0514
601;V0601;1993;V0848 X NA
602;V0602;1985;V0747 X NA
603;V0603;1987;NA X V0752
604;V0604;1931;V1058 X V0624
605;V0605;2021;NA X NA
606;V0606;2003;NA X V1094
607;V0607;2001;V1163 X V1027
608;V0608;2015;NA X V0992
609;V0609;1997;V1027 X V0088
610;V0610;2001;V0809 X NA
611;V0611;1904;V1040 X V0417
612;V0612;1978;NA X V0959
613;V0613;1967;V0552 X NA
614;V0614;2009;NA X NA
615;V0615;2009;V0970 X V0395
616;V0616;1886;NA X NA
617;V0617;1947;NA X V0216
618;V0618;2008;V0355 X V0402
619;V0619;1990;V1027 X NA
620;V0620;1973;V0202 X V0560
621;V0621;1982;NA X NA
622;V0622;2019;V0970 X NA
623;V0623;1990;NA X NA
624;V0624;1894;V0495 X NA
625;V0625;2005;NA X NA
626;V0626;1879;NA X NA
627;V0627;2021;NA X NA
628;V0628;1972;V1191 X NA
629;V0629;2009;NA X NA
630;V0630;2008;NA X V1080
631;V0631;1999;V0983 X V0343
632;V0632;2009;V0317 X V0155
633;V0633;2012;V0724 X NA
634;V0634;2011;V0672 X NA
635;V0635;2010;V0317 X NA
636;V0636;1981;V0096 X V0752
637;V0637;1972;NA X NA
638;V0638;1985;V1222 X NA
639;V0639;1996;V0638 X V0708
640;V0640;1950;NA X NA
641;V0641;1937;NA X V0575
642;V0642;2002;NA X NA
643;V0643;2016;V0916 X V0295
644;V0644;1927;NA X V0468
645;V0645;1944;NA X NA
646;V0646;2010;NA X NA
647;V0647;2018;V0997 X V0161
648;V0648;2008;NA X NA
649;V0649;1999;NA X NA
650;V0650;2017;NA X NA
651;V0651;1946;NA X V0339
652;V0652;2017;NA X NA
653;V0653;2014;V0511 X V1079
654;V0654;1957;NA X NA
655;V0655;2014;NA X NA
656;V0656;1975;NA X V0809
657;V0657;1997;NA X NA
658;V0658;1985;V0620 X NA
659;V0659;2006;V1193 X NA
660;V0660;1958;V0991 X NA
661;V0661;1883;NA X NA
662;V0662;1996;V1217 X NA
663;V0663;1900;NA X NA
664;V0664;1985;V0566 X V0856
665;V0665;1933;V0737 X V1058
666;V0666;1989;V1220 X NA
667;V0667;1919;V0114 X NA
668;V0668;1949;NA X NA
669;V0669;2004;V0003 X V0597
670;V0670;1806;NA X NA
671;V0671;2009;NA X NA
672;V0672;1998;V0658 X NA
673;V0673;1931;NA X NA
674;V0674;2017;NA X NA
675;V0675;2012;NA X V1057
676;V0676;2003;V0165 X V1027
677;V0677;1872;NA X NA
678;V0678;2005;V0317 X NA
679;V0679;1998;NA X NA
680;V0680;2013;NA X NA
681;V0681;2019;V1163 X NA
682;V0682;2003;NA X NA
683;V0683;1929;V0807 X NA
684;V0684;2003;NA X V1080
685;V0685;1978;NA X V0959
686;V0686;2011;V0176 X V0005
687;V0687;1989;V0607 X NA
688;V0688;1920;NA X NA
689;V0689;2011;V1133 X V0402
690;V0690;2008;NA X NA
691;V0691;2011;V1003 X NA
692;V0692;1954;NA X NA
693;V0693;2010;V0833 X V0243
694;V0694;1931;NA X V0514
695;V0695;1995;NA X V1144
696;V0696;2016;V1038 X V0662
697;V0697;1991;V1198 X V0752
698;V0698;2007;V0749 X V0175
699;V0699;1991;V0258 X V1097
700;V0700;2008;NA X NA
701;V0701;2016;NA X NA
702;V0702;1949;V0814 X V0994
703;V0703;2017;NA X NA
704;V0704;2005;NA X NA
705;V0705;2004;NA X NA
706;V0706;1989;NA X NA
707;V0707;1998;NA X V0752
708;V0708;1983;NA X NA
709;V0709;2003;NA X NA
710;V0710;1981;V0202 X NA
